"20k COMPOUNDING MODEL  ▸  Same logic as 15k but starting at ₹20,000 per chain",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
208,2650554.435,2817009.254,166454.8185,6561.076427,159893.7421,33257.89836,126635.8438,63317.92188,63317.92188
209,2713872.357,2884303.541,170431.184,6717.811078,163713.373,34052.38158,129660.9914,64830.49569,64830.49569
210,2778702.853,2953205.392,174502.5392,6878.289894,167624.2493,34865.84385,132758.4054,66379.20271,66379.20271
211,2845082.056,3023753.209,178671.1531,7042.602317,171628.5508,35698.73856,135929.8122,67964.90611,67964.90611
212,2913046.962,3095986.311,182939.3492,7210.839927,175728.5093,36551.52993,139176.9793,69588.48967,69588.48967
213,2982635.451,3169944.958,187309.5064,7383.096491,179926.4099,37424.69325,142501.7166,71250.85831,71250.85831
214,3053886.31,3245670.37,191784.0603,7559.468016,184224.5922,38318.71519,145905.8771,72952.93853,72952.93853
215,3126839.248,3323204.753,196365.5048,7740.052802,188625.452,39234.09401,149391.358,74695.67899,74695.67899
216,3201534.927,3402591.321,201056.3934,7924.951498,193131.4419,40171.33992,152960.102,76480.05101,76480.05101
217,3278014.978,3483874.319,205859.3406,8114.267157,197745.0735,41130.97528,156614.0982,78307.0491,78307.0491
218,3356322.027,3567099.051,210777.0233,8308.105294,202468.918,42113.53495,160355.3831,80177.69154,80177.69154
219,3436499.719,3652311.901,215812.1824,8506.573944,207305.6084,43119.56655,164186.0419,82093.02093,82093.02093
220,3518592.74,3739560.364,220967.6241,8709.783725,212257.8403,44149.63079,168108.2095,84054.10477,84054.10477
221,3602646.845,3828893.066,226246.2218,8917.847893,217328.374,45204.30178,172124.0722,86062.03608,86062.03608
222,3688708.881,3920359.798,231650.9177,9130.882415,222520.0353,46284.16734,176235.868,88117.93398,88117.93398
223,3776826.815,4014011.539,237184.724,9349.006024,227835.7179,47389.82933,180445.8886,90222.9443,90222.9443
224,3867049.759,4109900.484,242850.7249,9572.340291,233278.3846,48521.90399,184756.4806,92378.24029,92378.24029
225,3959427.999,4208080.078,248652.0784,9801.009692,238851.0687,49681.02228,189170.0464,94585.02319,94585.02319
226,4054013.023,4308605.04,254592.0178,10035.14168,244556.8761,50867.83024,193689.0459,96844.52295,96844.52295
227,4150857.545,4411531.399,260673.8539,10274.86673,250398.9871,52082.98932,198315.9978,99157.9989,99157.9989
228,4250015.544,4516916.521,266900.9762,10520.31848,256380.6577,53327.1768,203053.4809,101526.7405,101526.7405
229,4351542.285,4624819.14,273276.8555,10771.63371,262505.2218,54601.08613,207904.1356,103952.0678,103952.0678
230,4455494.353,4735299.398,279805.0453,11028.9525,268776.0928,55905.42731,212870.6655,106435.3328,106435.3328
231,4561929.685,4848418.87,286489.1842,11292.41827,275196.766,57240.92732,217955.8387,108977.9193,108977.9193
232,4670907.605,4964240.602,293332.9976,11562.17785,281770.8197,58608.3305,223162.4892,111581.2446,111581.2446
233,4782488.849,5082829.149,300340.2997,11838.3816,288501.9181,60008.39897,228493.5192,114246.7596,114246.7596
234,4896735.609,5204250.605,307514.9962,12121.18346,295393.8128,61441.91306,233951.8997,116975.9499,116975.9499
235,5013711.559,5328572.645,314861.0859,12410.74104,302450.3448,62909.67173,239540.6731,119770.3366,119770.3366
236,5133481.895,5455864.558,322382.663,12707.21574,309675.4473,64412.49303,245262.9542,122631.4771,122631.4771
237,5256113.372,5586197.292,330083.9198,13010.7728,317073.147,65951.21457,251121.9324,125560.9662,125560.9662
238,5381674.339,5719643.487,337969.1485,13321.58139,324647.5671,67526.69395,257120.8731,128560.4366,128560.4366
239,5510234.775,5856277.519,346042.7439,13639.81475,332402.9291,69139.80926,263263.1199,131631.5599,131631.5599
240,5641866.335,5996175.541,354309.2058,13965.65025,340343.5556,70791.45956,269552.096,134776.048,134776.048
241,5776642.383,6139415.525,362773.1417,14299.26949,348473.8722,72482.56541,275991.3068,137995.6534,137995.6534
242,5914638.037,6286077.305,371439.2687,14640.85841,356798.4103,74214.06934,282584.3409,141292.1705,141292.1705
