15k COMPOUNDING MODEL  ▸  Sequential 6.28% Profit Chain  ▸  Tax: 20% STCG (Post Budget Jul 2024)  ▸  Reinvestment: 50% of after-tax profit,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
KEY ASSUMPTIONS: Profit Target = 6.28% per trade | Brokerage = 0.25% both sides + ₹19 DP | Income Tax = 20% STCG (update if LTCG applies: 12.5% above ₹1.25L) | Self Dividend = 50% of after-tax profit reinvested next trade,,,,,,,,,
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
36,34271.67988,36423.941376464,2152.261496,84.8347455,2067.426751,430.0247642,1637.401987,818.7009933,818.7009933
37,35090.38087,37294.056788636,2203.675919,86.86132519,2116.814593,440.2974354,1676.517158,838.258579,838.258579
38,35928.63945,38184.95800746,2256.318557,88.93631695,2167.38224,450.815506,1716.566734,858.2833672,858.2833672
39,36786.92282,39097.141573096,2310.218753,91.06087726,2219.157876,461.5848381,1757.573037,878.7865187,878.7865187
40,37665.70933,40031.115875924,2365.406546,93.23619026,2272.170356,472.611434,1799.558922,899.779461,899.779461
41,38565.4888,40987.40149664,2421.912696,95.46346834,2326.449228,483.9014394,1842.547789,921.2738943,921.2738943
42,39486.76269,41966.531386932,2479.768697,97.74395289,2382.024744,495.4611468,1886.563597,943.2817986,943.2817986
43,40430.04449,42969.051283972,2539.006794,100.0789149,2438.927879,507.2969988,1931.63088,965.8154401,965.8154401
44,41395.85993,43995.519933604,2599.660004,102.4696558,2497.190348,519.4155923,1977.774755,988.8873777,988.8873777
45,42384.74731,45046.509441068,2661.762131,104.9175081,2556.844623,531.8236815,2025.020941,1012.510471,1012.510471
46,43397.25778,46122.605568584,2725.347788,107.423836,2617.923952,544.5281821,2073.39577,1036.697885,1036.697885
47,44433.95566,47224.408075448,2790.452416,109.9900365,2680.462379,557.5361748,2122.926204,1061.463102,1061.463102
48,45495.41876,48352.531058128,2857.112298,112.6175398,2744.494759,570.8549098,2173.639849,1086.819924,1086.819924
49,46582.23869,49507.603279732,2925.36459,115.3078104,2810.056779,584.4918101,2225.564969,1112.782485,1112.782485
50,47695.02117,50690.268499476,2995.24733,118.0623476,2877.184982,598.4544763,2278.730506,1139.365253,1139.365253
51,48834.38643,51901.185897804,3066.799468,120.8826868,2945.916781,612.7506904,2333.16609,1166.583045,1166.583045
52,50000.96947,53141.030352716,3140.060883,123.7703998,3016.290483,627.3884205,2388.902063,1194.451031,1194.451031
53,51195.4205,54410.4929074,3215.072408,126.7270961,3088.345311,642.3758248,2445.969487,1222.984743,1222.984743
54,52418.40525,55710.2810997,3291.875849,129.7544236,3162.121426,657.7212566,2504.400169,1252.200085,1252.200085
55,53670.60533,57041.119344724,3370.514015,132.8540696,3237.659945,673.4332686,2564.226677,1282.113338,1282.113338
56,54952.71867,58403.749402476,3451.030732,136.0277617,3315.002971,689.5206179,2625.482353,1312.741176,1312.741176
57,56265.45985,59798.93072858,3533.470878,139.2772687,3394.19361,705.9922708,2688.201339,1344.100669,1344.100669
58,57609.56051,61227.440910028,3617.8804,142.6044017,3475.275999,722.8574077,2752.418591,1376.209295,1376.209295
59,58985.76981,62690.076154068,3704.306344,146.0110152,3558.295329,740.1254284,2818.1699,1409.08495,1409.08495
60,60394.85476,64187.651638928,3792.796879,149.4990077,3643.297871,757.8059572,2885.491914,1442.745957,1442.745957
61,61837.60072,65721.002045216,3883.401325,153.0703233,3730.331002,775.9088484,2954.422153,1477.211077,1477.211077
62,63314.81179,67290.981970412,3976.170181,156.7269525,3819.443228,794.4441915,3024.999037,1512.499518,1512.499518
